City,Brand Name,Vendor ID,Vendor Name,Manufacturer ID,Manufacturer Name,Store Name,Store Type,SKU Category,SKU Name,SKU ID,EAN,Total Quantity
SAS Nagar,The Good Bug,,,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,SAS-Gillco Park hills,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE,0158caf9-fc39-4204-b53c-4ee08fefef41,8906181810006,2
Nagpur,The Good Bug,,,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,NAG-MHADA City,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Nagpur,The Good Bug,,,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,NAG-Garoba Maidan,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Bengaluru,The Good Bug,,,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,BLR-Nelamangala-DRYMH,WAREHOUSE,Packaged Food,The Good Bug Kimchi 350.0 GRAM,886a2e95-9cd8-479a-8837-c6c779c4790e,8906181810167,10
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Perumbakkam Network,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Ayanavaram,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,2
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Nanganallur Network,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,2
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-KK NAGAR NETWORK,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Navalur Network,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Mudichur Network,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,2
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-MOGAPPAIR,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Mogappair Network,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,2
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Thirunagar,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-GERUGAMBAKKAM NETWORK,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-KELAMBAKKAM,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,2
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Mylapore Network-2,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Pammal new,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Ambattur Network,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,2
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Madambakkam Network-2,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Sivan Nagar,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Velachery Network,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Tirumudivakkam,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Anna Nagar New,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,2
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Narayanapuram,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Sothupakkam,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,TAMBARAM,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-VANDALUR,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
Chennai,The Good Bug,KK-32638,SEVEN TURNS PRIVATE LIMITED,2341a381-fc63-4d0f-88b6-cab474c44ed1,Sundyota Numadis Probioceuticals Pvt. Ltd.,CHN-Medavakkam Network,RETAIL_STORE,Pharma & Wellness,The Good Bug Gut Balance Supplement Powder - Strong Digestion & Immunity 15.0 GRAM,f6e64c19-b02c-42ec-98b9-837c169f1ae6,8906067529756,1
