date,sku_id,sku,category,platform_city,dark_store,qty_sold,sales_mrp,drr_7,drr_14,dark_store_inv_qty,days_of_inventory_drr_14,month_to_date_sales
2025-01-02,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Ahmedabad,AHM-Makarba,1,799.0000,1.0000,1.0000,1,1.0000,799.0000
2025-01-16,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Ahmedabad,AHM-Tragad,1,799.0000,1.0000,1.0000,1,1.0000,799.0000
2025-01-02,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Bengaluru,"BLR- Sonnenahalli New",1,799.0000,1.0000,1.0000,1,1.0000,799.0000
2025-01-11,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Bengaluru,BLR-Bagalur,0,787.8889,0.0000,0.0000,3,NULL,787.8889
2025-01-15,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Bengaluru,"BLR-BASAVANAPURA NETWORK 2",1,799.0000,1.0000,1.0000,1,1.0000,799.0000
2025-01-03,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Bengaluru,"BLR-BELLANDUR - 2",1,799.0000,1.0000,1.0000,1,1.0000,3021.2525
2025-01-06,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Bengaluru,"BLR-BELLANDUR - 2",1,699.0000,1.0000,1.0000,1,1.0000,3021.2525
2025-01-11,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Bengaluru,"BLR-BELLANDUR - 2",1,787.8889,1.0000,1.0000,1,1.0000,3021.2525
2025-01-19,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Bengaluru,"BLR-BELLANDUR - 2",1,735.3636,1.0000,1.0000,1,1.0000,3021.2525
2025-01-11,0158caf9-fc39-4204-b53c-4ee08fefef41,"The Good Bug Gut Cleanse Health Supplement - Improves Digestion & Gut Health 70.0 MILLILITRE","Pharma & Wellness",Bengaluru,"BLR-Bellandur 6",1,787.8889,1.0000,1.0000,1,1.0000,787.8889
